timestamp,iter,lr,eta,time,data_time,memory,cls,reg,d0.cls,d0.reg,d1.cls,d1.reg,d2.cls,d2.reg,d3.cls,d3.reg,d4.cls,d4.reg,seg,seg_dice,cls_t0,reg_t0,d0.cls_t0,d0.reg_t0,d1.cls_t0,d1.reg_t0,d2.cls_t0,d2.reg_t0,d3.cls_t0,d3.reg_t0,d4.cls_t0,d4.reg_t0,seg_t0,seg_dice_t0,cls_t1,reg_t1,d0.cls_t1,d0.reg_t1,d1.cls_t1,d1.reg_t1,d2.cls_t1,d2.reg_t1,d3.cls_t1,d3.reg_t1,d4.cls_t1,d4.reg_t1,seg_t1,seg_dice_t1,cls_t2,reg_t2,d0.cls_t2,d0.reg_t2,d1.cls_t2,d1.reg_t2,d2.cls_t2,d2.reg_t2
"2026-04-13 04:03:38,069",1550,4.999e-05,8 days 8:16:56,4.328,0.105,30885.0,0.436,0.9525,0.5622,1.707,0.4873,1.334,0.4753,1.1516,0.4464,1.0719,0.4352,0.9994,0.0481,0.0793,0.5409,1.0729,1.0933,2.6902,0.7634,1.6757,0.6667,1.3686,0.5881,1.2217,0.5374,1.1438,0.0803,0.1359,0.4591,0.9333,0.667,1.7956,0.5467,1.3776,0.5112,1.1876,0.4837,1.0591,0.4674,0.9804,0.0591,0.0974,0.4291,0.8985,0.5979,1.6769,0.5044,1.2885,0.4778,"1.0990,"
"2026-04-13 04:07:14,181",1600,4.999e-05,8 days 8:12:02,4.322,0.11,30885.0,0.4064,0.9989,0.5234,1.727,0.4587,1.3513,0.4315,1.1848,0.4104,1.1044,0.3996,1.0422,0.0511,0.0856,0.4937,1.0641,1.0945,2.7085,0.7459,1.666,0.6373,1.3411,0.5537,1.2032,0.5023,1.1147,0.0811,0.1471,0.407,0.917,0.5969,1.6661,0.4807,1.2838,0.4541,1.1209,0.4284,1.0333,0.4023,0.959,0.0609,0.1065,0.3938,0.9008,0.5313,1.6473,0.4484,1.2617,0.42,"1.0861,"
"2026-04-13 04:10:49,394",1650,4.999e-05,8 days 8:05:46,4.305,0.11,30885.0,0.406,1.0169,0.5165,1.6575,0.4536,1.3282,0.4293,1.187,0.4131,1.1033,0.4016,1.0445,0.0474,0.0807,0.5015,1.0591,1.0395,2.6258,0.7357,1.6396,0.6253,1.3681,0.5497,1.2014,0.5074,1.113,0.0801,0.1455,0.4201,0.9675,0.5986,1.7171,0.5025,1.3247,0.4639,1.1693,0.4396,1.0568,0.4253,1.0004,0.0589,0.1064,0.4024,0.9046,0.5366,1.5917,0.4539,1.2544,0.4342,"1.0938,"
"2026-04-13 04:14:24,350",1700,4.999e-05,8 days 7:59:13,4.299,0.112,30885.0,0.3872,0.8162,0.4999,1.4731,0.4186,1.1961,0.4086,1.0055,0.3891,0.9164,0.3874,0.8549,0.0478,0.0895,0.4679,1.0652,1.0348,2.6043,0.721,1.6241,0.6154,1.3149,0.5168,1.1899,0.4832,1.1172,0.0828,0.1475,0.4147,0.9213,0.6097,1.7166,0.4995,1.2789,0.4738,1.1112,0.4379,1.0189,0.4179,0.9645,0.0606,0.109,0.38,0.8789,0.5241,1.6131,0.4436,1.2528,0.4136,"1.0773,"
"2026-04-13 04:19:36,595",1750,4.999e-05,8 days 10:26:38,6.244,1.959,30885.0,0.4306,0.9813,0.5436,1.6907,0.4787,1.3293,0.4666,1.1841,0.4431,1.0812,0.4229,1.0164,0.0496,0.0841,0.4918,0.9597,1.0769,2.5701,0.7436,1.5891,0.6406,1.2838,0.5443,1.1271,0.4993,1.0103,0.0801,0.1344,0.4276,0.853,0.6007,1.6604,0.5094,1.2373,0.4842,1.0767,0.4421,0.9626,0.4267,0.892,0.0582,0.0973,0.4158,0.8719,0.554,1.6015,0.4658,1.213,0.4438,"1.0809,"
"2026-04-13 04:23:12,246",1800,4.999e-05,8 days 10:17:13,4.314,0.099,30885.0,0.4027,0.8887,0.5247,1.5715,0.4449,1.2217,0.4281,1.072,0.4134,0.9813,0.4014,0.9306,0.0496,0.0909,0.49,1.0859,1.0766,2.6266,0.735,1.6507,0.6416,1.3271,0.5596,1.1943,0.5026,1.1205,0.0792,0.1525,0.3942,0.8906,0.5783,1.6348,0.4699,1.2621,0.4532,1.0929,0.4203,0.9815,0.3952,0.9439,0.0603,0.1103,0.3845,0.8243,0.5351,1.5005,0.4448,1.1734,0.4282,"1.0012,"
"2026-04-13 04:26:46,885",1850,4.999e-05,8 days 10:06:30,4.292,0.1,30885.0,0.3963,0.9466,0.4968,1.6317,0.4258,1.2914,0.4071,1.1385,0.3971,1.061,0.3945,0.9946,0.0507,0.0938,0.4752,1.0202,1.0043,2.5015,0.6996,1.5758,0.5993,1.281,0.5206,1.1579,0.4805,1.072,0.0862,0.1554,0.4048,0.9149,0.587,1.6927,0.4773,1.313,0.4602,1.1329,0.4261,1.0358,0.4046,0.9595,0.0622,0.1105,0.3827,0.908,0.5258,1.5683,0.444,1.2529,0.4223,"1.0901,"
"2026-04-13 04:30:21,197",1900,4.998e-05,8 days 9:55:45,4.287,0.102,30885.0,0.3787,0.9036,0.4822,1.5728,0.4182,1.2503,0.4043,1.0946,0.381,1.0163,0.3751,0.9522,0.0483,0.0884,0.4536,0.9631,1.008,2.63,0.6931,1.6157,0.5832,1.2717,0.5106,1.1071,0.4667,1.0059,0.0746,0.1412,0.3661,0.8685,0.5678,1.6349,0.4547,1.2368,0.4263,1.0562,0.3846,0.9756,0.3665,0.9103,0.0574,0.1002,0.3712,0.8666,0.5134,1.5728,0.4299,1.2218,0.4083,"1.0635,"
"2026-04-13 04:33:55,755",1950,4.998e-05,8 days 9:45:39,4.291,0.104,30885.0,0.3858,0.8223,0.4877,1.5181,0.4293,1.1635,0.4051,1.0172,0.3881,0.9322,0.3837,0.8657,0.0488,0.0874,0.467,1.0368,1.0508,2.7194,0.7137,1.6665,0.6145,1.3275,0.5325,1.1748,0.4797,1.0922,0.0761,0.1439,0.4055,0.8458,0.5636,1.6553,0.471,1.2611,0.4476,1.0805,0.4198,0.9731,0.4037,0.9042,0.0579,0.1088,0.3618,0.8029,0.515,1.5255,0.4326,1.1745,0.4008,"1.0132,"
"2026-04-13 04:37:29,979",2000,4.998e-05,8 days 9:35:29,4.285,0.106,30885.0,0.3772,0.8243,0.4973,1.5542,0.4261,1.1691,0.4002,1.0131,0.3827,0.9267,0.3762,0.8717,0.0466,0.0883,0.4594,0.967,0.9787,2.4553,0.6607,1.5289,0.5765,1.2273,0.5184,1.1009,0.4738,1.0184,0.0782,0.1398,0.374,0.8264,0.5461,1.523,0.4489,1.1803,0.4241,1.0087,0.3935,0.9229,0.3762,0.8692,0.0577,0.1049,0.3827,0.7597,0.4978,1.4765,0.4328,1.1168,0.4125,"0.9525,"
"2026-04-13 04:41:04,571",2050,4.998e-05,8 days 9:26:04,4.291,0.103,30885.0,0.3916,0.8648,0.5045,1.6084,0.4382,1.2378,0.4076,1.0835,0.3916,0.9763,0.379,0.9146,0.0484,0.0877,0.4812,1.0395,1.0959,2.6482,0.7272,1.6698,0.6321,1.3311,0.5334,1.1915,0.4862,1.1044,0.0784,0.1503,0.4107,0.8959,0.5984,1.6824,0.4992,1.2726,0.4728,1.105,0.4422,0.9896,0.4137,0.9401,0.0592,0.1048,0.387,0.8732,0.5305,1.6208,0.4522,1.2526,0.4241,"1.0656,"
